Word	Wordnet Synset	Wordnet ID	Wordnet ID2	Wordnet ID3	uniqueID
aardvark	aardvark, ant_bear, anteater, Orycteropus_afer	n02082791	aardvark%1:05:00::	aardvark#1	aardvark
abacus	abacus	n02666196	abacus%1:06:00::	abacus#2	abacus
accordion	accordion, piano_accordion, squeeze_box	n02672831	accordion%1:06:00::	accordion#1	accordion
acorn	acorn	n12267677	acorn%1:20:00::	acorn#1	acorn
air conditioner	air_conditioner, air_conditioning	n02686379	air_conditioner%1:06:00::	air_conditioner#1	air_conditioner
air mattress	air_mattress	n02690809	air_mattress%1:06:00::	air_mattress#1	air_mattress
air pump	air_pump, vacuum_pump	n02692513	air_pump%1:06:00::	air_pump#1	air_pump
airbag	air_bag	n02685365	air_bag%1:06:00::	air_bag#1	airbag
airboat	airboat				airboat
aircraft carrier	aircraft_carrier, carrier, flattop, attack_aircraft_carrier	n02687172	aircraft_carrier%1:06:00::	aircraft_carrier#1	aircraft_carrier
airplane	airplane, aeroplane, plane	n02691156	airplane%1:06:00::	airplane#1	airplane
album	album	n02695079	album%1:06:00::	album#2	album
alligator	alligator, gator	n01698434	alligator%1:05:00::	alligator#2	alligator
almond	almond	n07750586	almond%1:13:00::	almond#2	almond
aloe	aloe	n12436677	aloe%1:20:00::	aloe#1	aloe
alpaca	alpaca, Lama_pacos	n02438272	alpaca%1:05:00::	alpaca#3	alpaca
altar	altar	n02699494	altar%1:06:00::	altar#2	altar
aluminum foil	aluminum_foil, aluminium_foil, tin_foil	n02700767	aluminum_foil%1:06:00::	aluminum_foil#1	aluminum_foil
amber	amber	n14894880	amber%1:27:00::	amber#2	amber
ambulance	ambulance	n02701002	ambulance%1:06:00::	ambulance#1	ambulance
amplifier	amplifier	n02705944	amplifier%1:06:00::	amplifier#1	amplifier
anchor	anchor, ground_tackle	n02709367	anchor%1:06:00::	anchor#1	anchor
ankle	ankle, ankle_joint, mortise_joint, articulatio_talocruralis	n05578442	ankle%1:08:00::	ankle#1	ankle
anklet	anklet, ankle_bracelet	n02713097	anklet%1:06:00::	anklet#3	anklet
ant	ant, emmet, pismire	n02219486	ant%1:05:00::	ant#1	ant
anteater	pangolin, scaly_anteater, anteater	n02461830	anteater%1:05:04::	anteater#1	anteater
antelope	antelope	n02419796	antelope%1:05:00::	antelope#1	antelope
antenna	antenna, aerial, transmitting_aerial	n02715229	antenna%1:06:00::	antenna#1	antenna
anvil	anvil	n02725872	anvil%1:06:00::	anvil#1	anvil
appetizer	appetizer, appetiser, starter	n07581346	appetizer%1:13:00::	appetizer#1	appetizer
apple	apple	n07739125	apple%1:13:00::	apple#1	apple
apple tree	apple_tree	n12633638	apple_tree%1:20:00::	apple_tree#1	apple_tree
applesauce	applesauce, apple_sauce	n07825850	applesauce%1:13:00::	applesauce#1	applesauce
apron	apron	n02730930	apron%1:06:00::	apron#1	apron
aquarium	aquarium, fish_tank, marine_museum	n02732072	aquarium%1:06:00::	aquarium#1	aquarium
arch	arch	n13886133	arch%1:25:00::	arch#1	arch
arm	arm	n05563770	arm%1:08:00::	arm#1	arm
armor	armor, armour	n02739668	armor%1:06:00::	armor#1	armor
arrow	arrow	n02742753	arrow%1:06:00::	arrow#2	arrow
artichoke	artichoke, globe_artichoke	n07718747	artichoke%1:13:00::	artichoke#2	artichoke
arugula	rocket, roquette, garden_rocket, rocket_salad, arugula, Eruca_sativa, Eruca_vesicaria_sativa	n11886537	arugula%1:20:00::	arugula#1	arugula
ashtray	ashtray	n02747802	ashtray%1:06:00::	ashtray#1	ashtray
asparagus	asparagus	n07719213	asparagus%1:13:00::	asparagus#2	asparagus
avocado	avocado, alligator_pear, avocado_pear, aguacate	n07764847	avocado%1:13:00::	avocado#1	avocado
awning	awning, sunshade, sunblind	n02763901	awning%1:06:00::	awning#1	awning
axe	ax, axe	n02764044	ax%1:06:00::	ax#1	axe
baby	baby, babe, infant	n09827683	baby%1:18:00::	baby#1	baby
backdrop	backdrop, background, backcloth	n02768864	backdrop%1:06:00::	backdrop#1	backdrop
backgammon	backgammon	n00502822	backgammon%1:04:00::	backgammon#1	backgammon
backpack	backpack, back_pack, knapsack, packsack, rucksack, haversack	n02769748	backpack%1:06:00::	backpack#1	backpack
backscratcher	backscratcher	n02770721	backscratcher%1:06:00::	backscratcher#2	backscratcher
bacon	bacon	n07670433	bacon%1:13:00::	bacon#1	bacon
badge	badge	n06882561	badge%1:10:00::	badge#1	badge
badger	badger	n02447366	badger%1:05:00::	badger#1	badger
bag	bag	n02773037	bag%1:06:00::	bag#1	bag
bagel	bagel, beigel	n07693725	bagel%1:13:00::	bagel#1	bagel
bagpipe	bagpipe	n02775483	bagpipe%1:06:00::	bagpipe#1	bagpipe
baklava	baklava	n07627790	baklava%1:13:00::	baklava#1	baklava
balance beam	balance_beam, beam	n02777292	balance_beam%1:06:00::	balance_beam#1	balance_beam
ball	ball	n02779435	ball%1:06:02::	ball#6	ball
balloon	balloon	n02782329	balloon%1:06:01::	balloon#2	balloon
ballot box	ballot_box	n02782681	ballot_box%1:06:00::	ballot_box#1	ballot_box
bamboo	bamboo	n12147226	bamboo%1:20:00::	bamboo#2	bamboo
banana	banana	n07753592	banana%1:13:00::	banana#2	banana
banana peel	banana_peel, banana_skin	n07738570	banana_peel%1:13:00::	banana_peel#1	banana_peel
banana split	banana_split	n07616748	banana_split%1:13:00::	banana_split#1	banana_split
bandage	bandage, patch	n02785648	bandage%1:06:00::	bandage#1	bandage
bandanna	bandanna, bandana	n02786198	bandanna%1:06:00::	bandanna#1	bandanna
banjo	banjo	n02787622	banjo%1:06:00::	banjo#1	banjo
bank	savings_bank, coin_bank, money_box, bank	n04139859	bank%1:06:01::	bank#8	bank
banner	banner, streamer	n02788021	banner%1:06:00::	banner#1	banner
barbed wire	barbed_wire, barbwire	n02790823	barbed_wire%1:06:00::	barbed_wire#1	barbed_wire
barbell	barbell	n02790996	barbell%1:06:00::	barbell#1	barbell
barcode	bar_code, Universal_Product_Code	n06354774	bar_code%1:10:00::	bar_code#1	barcode
bark	bark	n13162297	bark%1:20:00::	bark#1	bark
barnacle	barnacle, cirriped, cirripede	n01998183	barnacle%1:05:01::	barnacle#1	barnacle
barrel	barrel, drum	n13901211	barrel%1:25:00::	barrel#3	barrel
barrette	barrette	n02796318	barrette%1:06:00::	barrette#1	barrette
baseball	baseball	n02799071	baseball%1:06:00::	baseball#2	baseball
baseball bat	baseball_bat, lumber	n02799175	baseball_bat%1:06:00::	baseball_bat#1	baseball_bat
baseball glove	baseball_glove, glove, baseball_mitt, mitt	n02800213	baseball_glove%1:06:00::	baseball_glove#1	baseball_glove
basil	basil	n12860365	basil%1:20:00::	basil#1	basil
basket	basket, handbasket	n02801938	basket%1:06:00::	basket#1	basket
basketball	basketball	n02802426	basketball%1:06:00::	basketball#2	basketball
basketball hoop	basket, basketball_hoop, hoop	n02802215	basket%1:06:01::	basket#3	basketball_hoop
bassinet	bassinet	n02804414	bassinet%1:06:00::	bassinet#1	bassinet
bassoon	bassoon	n02804610	bassoon%1:06:00::	bassoon#1	bassoon
bat	bat, chiropteran	n02139199	bat%1:05:00::	bat#1	bat1
bat	bat	n02806379	bat%1:06:00::	bat#5	bat2
bathmat	bath_mat	n02807401	bath_mat%1:06:00::	bath_mat#1	bathmat
bathrobe	bathrobe	n02807616	bathrobe%1:06:00::	bathrobe#1	bathrobe
bathtub	bathtub, bathing_tub, bath, tub	n02808440	bathtub%1:06:00::	bathtub#1	bathtub
baton	baton, wand	n02809364	baton%1:06:00::	baton#1	baton1
baton	truncheon, nightstick, baton, billy, billystick, billy_club	n04491388	baton%1:06:04::	baton#2	baton2
baton	baton	n02809605	baton%1:06:02::	baton#4	baton3
baton	baton	n02809491	baton%1:06:01::	baton#5	baton4
batter	batter	n07860805	batter%1:13:00::	batter#2	batter
battery	battery, electric_battery	n02810471	battery%1:06:00::	battery#2	battery
bazooka	bazooka	n02813752	bazooka%1:06:00::	bazooka#1	bazooka
beachball	beach_ball, beachball	n02814224	beachball%1:06:00::	beachball#1	beachball
bead	bead	n02815071	bead%1:06:00::	bead#1	bead
beaker	beaker	n02815834	beaker%1:06:01::	beaker#1	beaker
bean	bean	n13136316	bean%1:20:02::	bean#2	bean
beanbag	beanbag	n02816656	beanbag%1:06:00::	beanbag#1	beanbag
beanie	beanie, beany	n02816768	beanie%1:06:00::	beanie#1	beanie
bear	bear	n02131653	bear%1:05:00::	bear#1	bear
beard	beard, face_fungus, whiskers	n05261566	beard%1:08:00::	beard#1	beard
beaver	beaver	n02363005	beaver%1:05:00::	beaver#6	beaver
bed	bed	n02818832	bed%1:06:00::	bed#1	bed
bedpan	bedpan	n02821202	bedpan%1:06:00::	bedpan#1	bedpan
bedpost	bedpost	n02821415	bedpost%1:06:00::	bedpost#1	bedpost
bee	bee	n02206856	bee%1:05:00::	bee#1	bee
beehive	beehive, hive	n09218159	beehive%1:17:00::	beehive#2	beehive
beer	beer	n07886849	beer%1:13:00::	beer#1	beer
beet	beet, beetroot	n07719839	beet%1:13:00::	beet#2	beet
beetle	beetle	n02164464	beetle%1:05:00::	beetle#1	beetle
bell	bell	n02824448	bell%1:06:00::	bell#1	bell
bell pepper	bell_pepper	n07720875	bell_pepper%1:13:00::	bell_pepper#2	bell_pepper
belt	belt	n02827606	belt%1:06:00::	belt#2	belt
belt buckle	belt_buckle	n02828299	belt_buckle%1:06:00::	belt_buckle#1	belt_buckle
bench	bench	n02828884	bench%1:06:00::	bench#1	bench
berry	berry	n07742704	berry%1:13:00::	berry#1	berry
bib	bib	n02834295	bib%1:06:00::	bib#2	bib
bike	bicycle, bike, wheel, cycle	n02834778	bike%1:06:00::	bike#2	bike
bikini	bikini, two-piece	n02837789	bikini%1:06:00::	bikini#1	bikini
bin	bin	n02839910	bin%1:06:00::	bin#1	bin
binder	binder, ring-binder	n02840245	binder%1:06:01::	binder#3	binder
binoculars	binoculars, field_glasses, opera_glasses	n02841315	binoculars%1:06:00::	binoculars#1	binoculars
bird	bird	n01503061	bird%1:05:00::	bird#1	bird
birdbath	birdbath	n02843158	birdbath%1:06:00::	birdbath#1	birdbath
birdcage	birdcage	n02843276	birdcage%1:06:00::	birdcage#1	birdcage
birdhouse	birdhouse	n02843684	birdhouse%1:06:00::	birdhouse#1	birdhouse
birthday cake	birthday_cake	n07629988	birthday_cake%1:13:00::	birthday_cake#1	birthday_cake
biscuit	biscuit	n07693972	biscuit%1:13:00::	biscuit#1	biscuit
bison	bison	n02410509	bison%1:05:00::	bison#1	bison
blackberry	blackberry	n07744811	blackberry%1:13:00::	blackberry#1	blackberry
