Word	uniqueID	Example image	Bigram	Percent_known	Rank (combining COCA/concreteness)	Concreteness (M)	COCA word freq (online)	COCA word freq	COCA (dispersion)	COCA (rank)	BNC freq	SUBTLEX freq	Dominant Part of Speech	Bottom-up Category (Human Raters)	Top-down Category (WordNet)	Top-down Category (manual selection)	All Bottom-up Categories	WordNet Synonyms	WordNet ID	Wordnet ID2	Wordnet ID3	Wordnet ID4	"Definition (from WordNet, Google, or Wikipedia)"	Number of word meanings in list
aardvark	aardvark	https://imgur.com/LAJGlN0	0	1	18158.5	4.68	53	28	0.78	51507		21	Noun	animal	animal	animal	animal	"aardvark, ant_bear, anteater, Orycteropus_afer"	n02082791	aardvark%1:05:00::	aardvark#1	aardvark.n.01	nocturnal burrowing mammal of the grasslands of Africa that feeds on termites; sole extant representative of the order Tubulidentata	1
abacus	abacus	https://imgur.com/peZeM0l	0	0.93	17741	4.52	188	97	0.86	34578		12	Noun			home decor	mathematical device	abacus	n02666196	abacus%1:06:00::	abacus#2	abacus.n.02	a calculator that performs arithmetic functions by manually sliding counters on rods or in grooves	1
accordion	accordion	https://imgur.com/GgGvdZR	0	0.97	8541	4.86	816	735	0.9	15132		67	Noun	musical instrument	musical instrument	musical instrument	musical instrument	"accordion, piano_accordion, squeeze_box"	n02672831	accordion%1:06:00::	accordion#1	accordion.n.01	a portable box-shaped free-reed instrument; the reeds are made to vibrate by air from the bellows controlled by the player	1
acorn	acorn	https://imgur.com/YfIB5lM	0	1	7723.5	4.96	1289	692	0.85	16007	238	37	Noun		fruit		nut	acorn	n12267677	acorn%1:20:00::	acorn#1	acorn.n.01	fruit of the oak tree: a smooth thin-walled nut in a woody cup-shaped base	1
air conditioner	air_conditioner	https://imgur.com/KqYNwWH	1	1	12115	4.93	943					0	#N/A			electronic device	home appliance	"air_conditioner, air_conditioning"	n02686379	air_conditioner%1:06:00::	air_conditioner#1	air_conditioner.n.01	a system that keeps air cool and dry	1
air mattress	air_mattress	https://imgur.com/HjodlKf	1	1	15398	4.71	127					0	#N/A			furniture	bedding	air_mattress	n02690809	air_mattress%1:06:00::	air_mattress#1	air_mattress.n.01	a mattress that can be stored flat and inflated for use	1
air pump	air_pump	https://imgur.com/AevyIeO	1	0.96	15302.5	4.81	82					0	#N/A			tool	bicycle equipment	"air_pump, vacuum_pump"	n02692513	air_pump%1:06:00::	air_pump#1	air_pump.n.01	a pump that moves air in or out of something	1
airbag	airbag	https://imgur.com/9DR76Ri	0	0.96	10729	4.81	228	439	0.79	20359		20	Noun	part of car	container	part of car	"car safety device, part of car, safety device"	air_bag	n02685365	air_bag%1:06:00::	air_bag#1	air_bag.n.01	a safety restraint in an automobile; the bag inflates on collision and prevents the driver or passenger from being thrown forward	1
airboat	airboat	https://imgur.com/LKuZYNu	0	0.93	14495.5	4.82	112	118	0.74	33987		4	Noun			vehicle	watercraft	airboat					"a shallow-draft boat powered by an aircraft engine, for use in swamps"	1
aircraft carrier	aircraft_carrier	https://imgur.com/JA3V67u	1	1	7476.5	4.93	807					0	#N/A		vehicle	vehicle	military vessel	"aircraft_carrier, carrier, flattop, attack_aircraft_carrier"	n02687172	aircraft_carrier%1:06:00::	aircraft_carrier#1	aircraft_carrier.n.01	a large warship that carries planes and has a long flat deck for takeoffs and landings	1
airplane	airplane	https://imgur.com/UXiDFSt	0	1	2266.5	4.96	7390	8254	0.94	3543	79	557	Noun	vehicle	vehicle	vehicle	"aircraft, vehicle"	"airplane, aeroplane, plane"	n02691156	airplane%1:06:00::	airplane#1	airplane.n.01	an aircraft that has a fixed wing and is powered by propellers or jets	1
album	album	https://imgur.com/iMj0j4d	0	0.96	4313	4.69	17327	15869	0.92	2229	2167	522	Noun			home decor	book	album	n02695079	album%1:06:00::	album#2	album.n.02	a book of blank pages with pockets or envelopes; for organizing photographs or stamp collections etc	1
alligator	alligator	https://imgur.com/i2hnT5c	0	1	5309.5	4.96	1354	1620	0.93	9742		178	Noun	animal	animal	animal	"reptile, animal"	"alligator, gator"	n01698434	alligator%1:05:00::	alligator#2	alligator.n.02	either of two amphibious reptiles related to crocodiles but with shorter broader snouts	1
almond	almond	https://imgur.com/fPQ7T9v	0	0.97	6764	4.71	2122	2596	0.89	7638	330	56	Noun		fruit	food	"nut, drupe"	almond	n07750586	almond%1:13:00::	almond#2	almond.n.02	oval-shaped edible seed of the almond tree	1
aloe	aloe	https://imgur.com/VDqa5rQ	0	0.97	11016	4.83	486	377	0.8	21642	27	15	Noun	plant	plant	plant	"plant, medicinal plant"	aloe	n12436677	aloe%1:20:00::	aloe#1	aloe.n.01	succulent plants having rosettes of leaves usually with fiber like hemp and spikes of showy flowers; found chiefly in Africa	1
alpaca	alpaca	https://imgur.com/oDGo7xm	0	0.87	14327	4.81	164	132	0.63	34586		10	Noun	animal	animal	animal	animal	"alpaca, Lama_pacos"	n02438272	alpaca%1:05:00::	alpaca#3	alpaca.n.03	domesticated llama with long silky fleece; believed to be a domesticated variety of the guanaco	1
altar	altar	https://imgur.com/mzkiCih	0	1	4590	4.85	4580	4021	0.92	5731	895	259	Noun				church furniture	altar	n02699494	altar%1:06:00::	altar#2	altar.n.02	a raised structure on which gifts or sacrifices to a god are made	1
aluminum foil	aluminum_foil	https://imgur.com/4BPdoNB	1	1	9469	4.73	838					0	#N/A				"food packaging, food storage"	"aluminum_foil, aluminium_foil, tin_foil"	n02700767	aluminum_foil%1:06:00::	aluminum_foil#1	aluminum_foil.n.01	foil made of aluminum	1
amber	amber	https://imgur.com/oCgAbLY	0	0.96	14006	4.35	2775	563	0.88	17430	508	473	Noun				fossil	amber	n14894880	amber%1:27:00::	amber#2	amber.n.02	a hard yellowish to brownish translucent fossil resin; used for jewelry	1
ambulance	ambulance	https://imgur.com/Jm1mxVJ	0	1	4873.5	4.81	4706	4194	0.93	5563		1143	Noun		"container, vehicle"	vehicle	emergency vehicle	ambulance	n02701002	ambulance%1:06:00::	ambulance#1	ambulance.n.01	a vehicle that takes people to and from hospitals	1
amplifier	amplifier	https://imgur.com/nzdUeH0	0	1	9571.5	4.79	575	678	0.86	16158		16	Noun			electronic device	"music equipment, sound equipment"	amplifier	n02705944	amplifier%1:06:00::	amplifier#1	amplifier.n.01	electronic equipment that increases strength of signals passing through it	1
anchor	anchor	https://imgur.com/YqYBQW0	0	1	5044	4.77	10763	4942	0.94	5009	601	378	Noun				"boat equipment, part of boat"	"anchor, ground_tackle"	n02709367	anchor%1:06:00::	anchor#1	anchor.n.01	a mechanical device that prevents a vessel from moving	1
ankle	ankle	https://imgur.com/BbaSFm8	0	1	3972	4.81	6420	7397	0.93	3844	973	409	Noun	body part	body part	body part	body part	"ankle, ankle_joint, mortise_joint, articulatio_talocruralis"	n05578442	ankle%1:08:00::	ankle#1	ankle.n.01	a gliding joint between the distal ends of the tibia and fibula and the proximal end of the talus	1
anklet	anklet	https://imgur.com/7Dg5biU	0	1	15402.5	4.75	66	108	0.85	33446	6	21	Noun		decoration		jewelry	"anklet, ankle_bracelet"	n02713097	anklet%1:06:00::	anklet#3	anklet.n.03	an ornament worn around the ankle	1
ant	ant	https://imgur.com/oyIbvoo	0	1	4435.5	4.86	2181	3981	0.89	5884	443	273	Noun	insect	"animal, insect"	"animal, insect"	insect	"ant, emmet, pismire"	n02219486	ant%1:05:00::	ant#1	ant.n.01	social insect living in organized colonies; characteristically the males and fertile queen have wings during breeding season; wingless sterile females are the workers	1
anteater	anteater	https://imgur.com/QU05ej7	0	0.97	14503	4.86	79	94	0.8	35621		11	Noun	animal	animal	animal	"animal, mammal"	"pangolin, scaly_anteater, anteater"	n02461830	anteater%1:05:04::	anteater#1	anteater.n.01	toothless mammal of southern Africa and Asia having a body covered with horny scales and a long snout for feeding on ants and termites	1
antelope	antelope	https://imgur.com/arzIoKy	0	1	5811.5	5	1252	1175	0.9	11832		50	Noun	animal	animal	animal	animal	antelope	n02419796	antelope%1:05:00::	antelope#1	antelope.n.01	graceful Old World ruminant with long legs and horns directed upward and backward; includes gazelles; springboks; impalas; addax; gerenuks; blackbucks; dik-diks	1
antenna	antenna	https://imgur.com/iXFulcR	0	1	6332	4.75	1918	2691	0.93	7233		122	Noun				"transmission device, receiver, television accessory"	"antenna, aerial, transmitting_aerial"	n02715229	antenna%1:06:00::	antenna#1	antenna.n.01	an electrical device that sends or receives radio or television signals	1
anvil	anvil	https://imgur.com/vhjJqxC	0	0.96	8902	4.96	525	477	0.87	18887	74	32	Noun	tool		tool	"tool, blacksmith tool"	anvil	n02725872	anvil%1:06:00::	anvil#1	anvil.n.01	a heavy block of iron or steel on which hot metals are shaped by hammering	1
appetizer	appetizer	https://imgur.com/bFnDSAE	0	1	7604	4.71	1288	1797	0.88	9458		61	Noun	food	food	food	food	"appetizer, appetiser, starter"	n07581346	appetizer%1:13:00::	appetizer#1	appetizer.n.01	food or drink to stimulate the appetite (usually served before a meal or as the first course)	1
apple	apple	https://imgur.com/XUIseZI	0	1	1450.5	5	19463	12172	0.93	2711	2654	1207	Noun	fruit	fruit	"food, fruit"	fruit	apple	n07739125	apple%1:13:00::	apple#1	apple.n.01	fruit with red or yellow or green skin and sweet to tart crisp whitish flesh	1
apple tree	apple_tree	https://imgur.com/ye3dP8L	1	1	10624	4.84	416					0	#N/A	plant	plant	plant	"fruit tree, plant"	apple_tree	n12633638	apple_tree%1:20:00::	apple_tree#1	apple_tree.n.01	any tree of the genus Malus especially those bearing firm rounded edible fruits	1
applesauce	applesauce	https://imgur.com/t2wlo2b	0	1	10305.5	4.96	462	308	0.89	22589		30	Noun	food	food	food	food	"applesauce, apple_sauce"	n07825850	applesauce%1:13:00::	applesauce#1	applesauce.n.01	puree of stewed apples usually sweetened and spiced	1
apron	apron	https://imgur.com/ufiJ30T	0	1	5373.5	4.87	2585	2289	0.88	8231	495	136	Noun		clothing	clothing	kitchen clothing	apron	n02730930	apron%1:06:00::	apron#1	apron.n.01	a garment of cloth or leather or plastic that is tied about the waist and worn to protect your clothing	1
aquarium	aquarium	https://imgur.com/f7Fm6Nd	0	0.93	7630.5	4.77	2403	1428	0.91	10570		141	Noun		container	"home decor, container"	pet supply	"aquarium, fish_tank, marine_museum"	n02732072	aquarium%1:06:00::	aquarium#1	aquarium.n.01	a tank or pool or bowl filled with water for keeping live fish and underwater animals	1
arch	arch	https://imgur.com/V9dD1UP	0	1	7415.5	4.59	2896	3454	0.89	6411	968	188	Noun				architectural element	arch	n13886133	arch%1:25:00::	arch#1	arch.n.01	a curved shape in the vertical plane that spans an opening	1
arm	arm	https://imgur.com/Kb7Iw3O	0	1	634	4.96	47857	84865	0.91	491	9194	3336	Noun	body part	body part	body part	body part	arm	n05563770	arm%1:08:00::	arm#1	arm.n.01	a human limb; technically the part of the superior limb between the shoulder and the elbow but commonly used to refer to the whole superior limb	1
armor	armor	https://imgur.com/fejhPOq	0	1	5545.5	4.76	4360	3867	0.93	5858		372	Noun			clothing	protective clothing	"armor, armour"	n02739668	armor%1:06:00::	armor#1	armor.n.01	protective covering made of metal and used in combat	1
arrow	arrow	https://imgur.com/HI9YPTc	0	1	2782.5	4.97	4305	5208	0.92	4878	1040	400	Noun	weapon	weapon	weapon	"weapon, archery ammunition, ammunition"	arrow	n02742753	arrow%1:06:00::	arrow#2	arrow.n.02	a projectile with a straight thin shaft and an arrowhead on one end and stabilizing vanes on the other; intended to be shot from a bow	1
artichoke	artichoke	https://imgur.com/CIxOfaf	0	1	9611.5	4.63	692	1147	0.85	12403		28	Noun	vegetable	vegetable	"plant, food, vegetable"	vegetable	"artichoke, globe_artichoke"	n07718747	artichoke%1:13:00::	artichoke#2	artichoke.n.02	a thistlelike flower head with edible fleshy leaves and heart	1
arugula	arugula	https://imgur.com/SIzaUji	0	0.86	16295.5	4.08	965	479	0.85	19031		6	Noun	vegetable	plant	"plant, food, vegetable"	vegetable	"rocket, roquette, garden_rocket, rocket_salad, arugula, Eruca_sativa, Eruca_vesicaria_sativa"	n11886537	arugula%1:20:00::	arugula#1	arugula.n.01	erect European annual often grown as a salad crop to be harvested when young and tender	1
ashtray	ashtray	https://imgur.com/C0bAofu	0	1	6061.5	4.97	1079	1149	0.85	12371	232	166	Noun		container	container	smoking accessory	ashtray	n02747802	ashtray%1:06:00::	ashtray#1	ashtray.n.01	a receptacle for the ash from smokers' cigars or cigarettes	1
asparagus	asparagus	https://imgur.com/MSMbD1O	0	1	5045.5	4.96	2636	1800	0.87	9504		50	Noun	vegetable	vegetable	"plant, food, vegetable"	vegetable	asparagus	n07719213	asparagus%1:13:00::	asparagus#2	asparagus.n.02	edible young shoots of the asparagus plant	1
avocado	avocado	https://imgur.com/24LIuIp	0	1	6218.5	4.89	1781	1500	0.86	10624		62	Noun	"food, fruit"	fruit	"food, fruit"	"fruit, food"	"avocado, alligator_pear, avocado_pear, aguacate"	n07764847	avocado%1:13:00::	avocado#1	avocado.n.01	a pear-shaped tropical fruit with green or blackish skin and rich yellowish pulp enclosing a single large seed	1
awning	awning	https://imgur.com/AnvnBQ5	0	1	11439	4.61	625	667	0.88	16034	74	24	Noun				covering	"awning, sunshade, sunblind"	n02763901	awning%1:06:00::	awning#1	awning.n.01	a canopy made of canvas to shelter people or things from rain or sun	1
axe	axe	https://imgur.com/aOZjiLh	0	1	5621.5	5	1547	1260	0.86	11689	791	249	Noun	tool	tool	"weapon, tool"	tool	"ax, axe"	n02764044	ax%1:06:00::	ax#1	ax.n.01	an edge tool with a heavy bladed head mounted across a handle	1
baby	baby	https://imgur.com/Yf3F0sH	0	1	351.5	5	71258	67881	0.94	588	9070	25978	Noun				human	"baby, babe, infant"	n09827683	baby%1:18:00::	baby#1	baby.n.01	a very young child (birth to 1 year) who has not yet begun to walk or talk	1
backdrop	backdrop	https://imgur.com/smiXV4J	0	1	8618	4.48	3709	2897	0.95	6797	436	24	Noun				"photography equipment, photography"	"backdrop, background, backcloth"	n02768864	backdrop%1:06:00::	backdrop#1	backdrop.n.01	scenery hung at back of stage	1
backgammon	backgammon	https://imgur.com/Ben1OzT	0	0.97	17710.5	4.47	154	121	0.85	32358		37	Noun				"board game, game"	backgammon	n00502822	backgammon%1:04:00::	backgammon#1	backgammon.n.01	a board game for two players; pieces move according to throws of the dice	1
backpack	backpack	https://imgur.com/4YJLN6j	0	1	3745.5	4.96	3800	3296	0.9	6547		186	Noun		container	container	hiking gear	"backpack, back_pack, knapsack, packsack, rucksack, haversack"	n02769748	backpack%1:06:00::	backpack#1	backpack.n.01	a bag carried by a strap on your back or shoulder	1
backscratcher	backscratcher	https://imgur.com/2O5lC05	0	0.96	19585	4.58	3					5	Noun	tool		tool	tool	backscratcher	n02770721	backscratcher%1:06:00::	backscratcher#2	backscratcher.n.02	a long-handled scratcher for scratching your back	1
bacon	bacon	https://imgur.com/JfDV4xi	0	1	4304	4.9	7263	3281	0.91	6501	1462	605	Noun	food		food	"meat, food"	bacon	n07670433	bacon%1:13:00::	bacon#1	bacon.n.01	back and sides of a hog salted and dried or smoked; usually sliced thin and fried	1
badge	badge	https://imgur.com/Uugcapk	0	1	4233.5	4.93	2925	2880	0.93	6913	555	778	Noun				award	badge	n06882561	badge%1:10:00::	badge#1	badge.n.01	an emblem (a small piece of plastic or cloth or metal) that signifies your status (rank or membership or affiliation etc.)	1
badger	badger	https://imgur.com/WWOwoFi	0	1	16455	4.37	643	252	0.82	25223	353	89	Noun	animal	animal	animal	animal	badger	n02447366	badger%1:05:00::	badger#1	badger.n.01	sturdy carnivorous burrowing mammal with strong claws; widely distributed in the northern hemisphere	1
bag	bag	https://imgur.com/U7e0Nti	0	1	1456	4.9	36144	40007	0.93	1009	5338	4796	Noun		container	container	accessory	bag	n02773037	bag%1:06:00::	bag#1	bag.n.01	a flexible container with a single opening	1
bagel	bagel	https://imgur.com/6JIdcx4	0	1	5860	5	898	1154	0.87	12229		156	Noun	food	food	food	"food, bread"	"bagel, beigel"	n07693725	bagel%1:13:00::	bagel#1	bagel.n.01	(Yiddish) glazed yeast-raised doughnut-shaped roll with hard crust	1
bagpipe	bagpipe	https://imgur.com/cS7wCiz	0	1	10188.5	4.97	129	304	0.87	22852	24	15	Noun	musical instrument	musical instrument	musical instrument	musical instrument	bagpipe	n02775483	bagpipe%1:06:00::	bagpipe#1	bagpipe.n.01	a tubular wind instrument; the player blows air into a bag and squeezes it out through the drone	1
baklava	baklava	https://imgur.com/fRcVYyY	0	0.89	19486	4.32	128	86	0.81	36561		15	Noun	"food, dessert"		"food, dessert"	"dessert, food"	baklava	n07627790	baklava%1:13:00::	baklava#1	baklava.n.01	rich Middle Eastern cake made of thin layers of flaky pastry filled with nuts and honey	1
balance beam	balance_beam	https://imgur.com/O92y6uf	1	1	16694	4.66	89					0	#N/A		sports equipment	sports equipment	gymnastics equipment	"balance_beam, beam"	n02777292	balance_beam%1:06:00::	balance_beam#1	balance_beam.n.01	a gymnastic apparatus used by women gymnasts	1
ball	ball	https://imgur.com/kdBeNbt	0	1	514.5	5	49050	43512	0.94	913	7573	5353	Noun	toy	toy	"toy, sports equipment"	toy	ball	n02779435	ball%1:06:02::	ball#6	ball.n.06	a spherical object used as a plaything	1
balloon	balloon	https://imgur.com/FVdewDJ	0	1	3376	4.92	4544	5187	0.94	4819	651	442	Noun		toy	toy	party supply	balloon	n02782329	balloon%1:06:01::	balloon#2	balloon.n.02	small thin inflatable rubber bag with narrow neck	1
ballot box	ballot_box	https://imgur.com/PffCMR0	1	1	12456.5	4.57	538					0	#N/A		container	container	voting equipment	ballot_box	n02782681	ballot_box%1:06:00::	ballot_box#1	ballot_box.n.01	a box where voters deposit their ballots	1
bamboo	bamboo	https://imgur.com/ofk8aBF	0	1	5688.5	4.86	2653	2127	0.92	8400	290	80	Noun	plant	plant	plant	plant	bamboo	n12147226	bamboo%1:20:00::	bamboo#2	bamboo.n.02	woody tropical grass having hollow woody stems; mature canes used for construction and furniture	1
banana	banana	https://imgur.com/foZFgge	0	1	2522.5	5	4462	5458	0.93	4721		547	Noun	fruit	fruit	"food, fruit"	fruit	banana	n07753592	banana%1:13:00::	banana#2	banana.n.02	elongated crescent-shaped yellow fruit with soft sweet flesh	1
banana peel	banana_peel	https://imgur.com/b6J8dVT	1	1	15252	4.86	63					0	#N/A				fruit skin	"banana_peel, banana_skin"	n07738570	banana_peel%1:13:00::	banana_peel#1	banana_peel.n.01	the skin of a banana (especially when it is stripped off and discarded)	1
banana split	banana_split	https://imgur.com/QdswoBG	1	1	15774	4.88	38					0	#N/A	dessert	"food, dessert"	"food, dessert"	dessert	banana_split	n07616748	banana_split%1:13:00::	banana_split#1	banana_split.n.01	a banana split lengthwise and topped with scoops of ice cream and sauces and nuts and whipped cream	1
bandage	bandage	https://imgur.com/whxMzeG	0	1	6396	4.85	1032	1705	0.9	9635	253	146	Noun	medical equipment		medical equipment	medical equipment	"bandage, patch"	n02785648	bandage%1:06:00::	bandage#1	bandage.n.01	a piece of soft material that covers and protects an injured part of the body	1
bandanna	bandanna	https://imgur.com/HJFOdJa	0	0.93	8462	5	475	490	0.89	18434		21	Noun	clothing accessory		"clothing, clothing accessory"	clothing accessory	"bandanna, bandana"	n02786198	bandanna%1:06:00::	bandanna#1	bandanna.n.01	large and brightly colored handkerchief; often used as a neckerchief	1
banjo	banjo	https://imgur.com/vsjuaAQ	0	1	8723.5	4.9	771	600	0.89	16842	45	83	Noun	musical instrument	musical instrument	musical instrument	musical instrument	banjo	n02787622	banjo%1:06:00::	banjo#1	banjo.n.01	a stringed instrument of the guitar family that has long neck and circular body	1
bank	bank	https://imgur.com/d0iakqU	0	1	2675	4.78	57671	58992	0.94	663	17932	4334	Noun		container	container	money storage container	"savings_bank, coin_bank, money_box, bank"	n04139859	bank%1:06:01::	bank#8	bank.n.08	a container (usually with a slot in the top) for keeping money at home	1
